iter	Passed	Remaining
0	103	103035
1	177	88548
2	249	82900
3	322	80315
4	393	78354
5	467	77439
6	539	76561
7	611	75847
8	684	75391
9	757	75032
10	835	75140
11	910	74935
12	983	74683
13	1054	74292
14	1128	74135
15	1205	74133
16	1280	74019
17	1359	74156
18	1440	74351
19	1517	74336
20	1591	74174
21	1663	73957
22	1735	73712
23	1810	73626
24	1882	73429
25	1954	73232
26	2027	73078
27	2099	72889
28	2171	72714
29	2244	72558
30	2316	72411
31	2387	72226
32	2460	72104
33	2533	71973
34	2606	71856
35	2678	71720
36	2750	71599
37	2823	71471
38	2898	71431
39	2970	71297
40	3043	71194
41	3114	71047
42	3186	70923
43	3259	70810
44	3331	70692
45	3404	70613
46	3475	70473
47	3553	70478
48	3626	70378
49	3698	70266
50	3769	70136
51	3841	70036
52	3913	69919
53	3984	69808
54	4056	69695
55	4127	69585
56	4200	69496
57	4272	69388
58	4345	69309
59	4421	69270
60	4494	69189
61	4566	69084
62	4637	68980
63	4709	68871
64	4780	68761
65	4854	68694
66	4924	68576
67	4999	68527
68	5074	68473
69	5145	68359
70	5217	68263
71	5287	68154
72	5361	68083
73	5433	67991
74	5505	67901
75	5579	67839
76	5651	67748
77	5727	67705
78	5800	67618
79	5873	67550
80	5943	67432
81	6015	67343
82	6086	67241
83	6158	67161
84	6231	67075
85	6301	66973
86	6372	66875
87	6442	66768
88	6512	66663
89	6585	66588
90	6654	66473
91	6725	66373
92	6796	66288
93	6867	66187
94	6940	66115
95	7011	66024
96	7085	65961
97	7160	65904
98	7232	65823
99	7303	65734
100	7374	65644
101	7446	65562
102	7520	65492
103	7592	65412
104	7668	65366
105	7740	65286
106	7813	65211
107	7886	65133
108	7956	65040
109	8028	64958
110	8100	64877
111	8171	64787
112	8242	64699
113	8314	64621
114	8386	64536
115	8458	64461
116	8531	64385
117	8601	64290
118	8672	64207
119	8745	64133
120	8817	64053
121	8888	63969
122	8960	63889
123	9032	63809
124	9102	63720
125	9176	63653
126	9250	63589
127	9325	63526
128	9398	63460
129	9469	63369
130	9540	63290
131	9616	63238
132	9688	63155
133	9760	63078
134	9831	62994
135	9902	62912
136	9975	62837
137	10048	62768
138	10119	62685
139	10190	62597
140	10263	62524
141	10333	62437
142	10404	62355
143	10477	62284
144	10547	62193
145	10618	62108
146	10689	62027
147	10761	61951
148	10832	61868
149	10905	61797
150	10976	61713
151	11044	61619
152	11118	61553
153	11192	61483
154	11262	61399
155	11336	61336
156	11409	61264
157	11482	61190
158	11560	61148
159	11630	61058
160	11702	60981
161	11772	60898
162	11843	60814
163	11914	60735
164	11984	60650
165	12080	60694
166	12155	60633
167	12226	60548
168	12298	60471
169	12368	60389
170	12389	60066
171	12460	59985
172	12531	59906
173	12603	59828
174	12674	59751
175	12745	59674
176	12816	59592
177	12889	59525
178	12961	59450
179	13031	59367
180	13105	59301
181	13177	59227
182	13248	59146
183	13321	59075
184	13392	58997
185	13466	58933
186	13544	58884
187	13615	58807
188	13687	58734
189	13761	58665
190	13830	58581
191	13903	58508
192	13976	58440
193	14048	58368
194	14118	58285
195	14190	58209
196	14260	58127
197	14330	58045
198	14403	57977
199	14475	57902
200	14546	57824
201	14619	57754
202	14688	57670
203	14760	57594
204	14837	57541
205	14911	57474
206	14980	57389
207	15053	57317
208	15124	57240
209	15194	57160
210	15267	57089
211	15338	57013
212	15411	56942
213	15448	56741
214	15521	56672
215	15596	56608
216	15673	56555
217	15746	56483
218	15818	56411
219	15888	56333
220	15960	56259
221	16032	56186
222	16103	56109
223	16176	56040
224	16246	55959
225	16318	55887
226	16390	55814
227	16461	55738
228	16535	55672
